legacy_id,name,title,description,material,color,care,year,main_image,image,image2,category,sub_category
"1","Arthene","Single Seater","Where craftsmanship meets calm. Arthene is defined by its beautifully sculpted wooden frame and plush dual cushions that offer deep, inviting comfort. Its sleek angled silhouette, rich walnut tones, and olive leather upholstery bring quiet sophistication to modern living spaces. A piece that doesn’t just complement your space — it defines it.","Solid Wood Frame / Premium Upholstered Leatherette Cushions / High-Density Foam Padding / Matte Lacquer Finish","Walnut Brown Frame with Olive Green Cushions","Dust the wooden frame regularly with a soft dry cloth. Wipe upholstery with a slightly damp cloth and mild soap when needed. Avoid harsh cleaners, direct sunlight, and excess moisture to preserve the finish and upholstery.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799404/destrezza/migrated/yxmz6tp5tqzw74ltzluo.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799405/destrezza/migrated/no23faqamu6xewczq2nm.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799407/destrezza/migrated/nmov2wgwwung7jeufnqc.jpg","Living","Accent | Lounge Chairs"
"2","Arvionc","Console","The Arvionc Console stands as a reflection of modern refinement. Strong in presence and graceful in detail, it blends clean structure with warm wooden textures. The dual drawers offer functional storage, while the open lower shelves provide versatile display or utility space. Designed to bring harmony and understated elegance into contemporary interiors, Arvionc is both practical and beautifully crafted.","Solid Wood Frame / Veneered Drawer Panels / Open Lower Shelves / Matte Water-Based Lacquer Finish","Warm Walnut Brown","Dust regularly with a dry soft cloth. Clean spills immediately using a slightly damp cloth. Avoid harsh solvents and prolonged direct sunlight. Use protective pads when placing decorative items on the surface.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799409/destrezza/migrated/qn9hdojjpk9u8dck6q8y.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799410/destrezza/migrated/zaheepjbiecprldlet6p.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799412/destrezza/migrated/yofs2hkrijqw4xazdimo.jpg","Living","Consoles"
"3","Ashcaen","Dining Table","The Ashcaen Dining Table is designed as a centerpiece for meaningful gatherings. With its sculpted base and rich wooden finish, it combines strength with refined elegance. Paired with rattan-back chairs and cushioned seats, the set creates a warm, welcoming atmosphere for family meals, celebrations, or quiet moments of connection. Its timeless craftsmanship ensures it complements both contemporary and classic interiors.","FSC-Certified Solid Oakwood Tabletop & Frame / Matte Water-Based Lacquer Finish / Rattan-Back Dining Chairs with Upholstered Cushions","Natural Wood (Deep Walnut Finish) with Light Beige Upholstered Seating and Cane Backs","Wipe table and chairs with a soft damp cloth. Avoid direct sunlight, excess heat, or abrasive cleaners. Use coasters, placemats, and trivets to protect surfaces. Tighten joints every 6–8 months for lasting durability.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799414/destrezza/migrated/qcmotkbv9wmzuatbo1gd.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799416/destrezza/migrated/oyzffggerv3d56lf2vrc.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799417/destrezza/migrated/doqdj4wzxm4v6ab7na1n.png","Dining","Dining Tables"
"4","Ashrattan","Chair & Table Set","The Ashrattan Chair & Table Set embodies timeless craftsmanship with a modern touch. The chairs feature a natural rattan backrest framed in smooth solid wood, paired with plush velvet-like upholstered seats in a rich rose hue for comfort and elegance. Complementing them is a round wooden dining table with a sculpted pedestal base that adds a bold, contemporary character. This set is perfect for dining corners, cafes, or cozy conversational spaces, offering both warmth and style.","Solid Wood Frame / Natural Rattan Backrest / High-Density Foam Cushioning / Premium Velvet Upholstery / Solid Wood Table","Natural Wood with Rattan Detailing / Rose-Pink Upholstery / Dark Walnut Table","Dust rattan and wood surfaces regularly with a dry cloth. Vacuum cushions with a soft brush attachment. Spot clean upholstery with mild soap solution and a damp cloth. Avoid harsh cleaners. Keep away from direct sunlight and moisture to prevent fading and warping.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799420/destrezza/migrated/xjh0iqfmy6xzleotfuus.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799422/destrezza/migrated/sxshbeaciuuackyldybn.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799424/destrezza/migrated/ebbu3beug7zqrzzh4k4n.png","Dining","Dining Collections"
"5","Ashtone","Dining Table","The Ashtone Dining Table embodies contemporary sophistication with its sleek stone-finish top and sculpted dark base. Designed for both modern homes and refined workspaces, it strikes the perfect balance between elegance and durability. Paired with plush upholstered chairs featuring curved backs and matte black legs, it offers comfort and style in equal measure. Ideal for intimate dinners, professional meetings, or lively gatherings, the Ashtone is a versatile centerpiece for today’s living.","Engineered Stone Tabletop with Matte Finish / Powder-Coated Metal Base / Upholstered Fabric Chairs with High-Density Foam and Solid Wood Legs","Soft Grey Stone Top with Deep Black Base / Taupe Upholstered Chairs with Black Frames","Clean the tabletop with a soft damp cloth; avoid harsh chemicals and acidic cleaners. Use placemats and coasters to prevent stains and scratches. Vacuum chair upholstery gently with a soft brush attachment. Keep away from direct sunlight and high humidity to preserve finish and fabric.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799427/destrezza/migrated/vnpsof4najlgcp0o75oc.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799429/destrezza/migrated/ikdj55smzwh7yh9uio1l.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799430/destrezza/migrated/zt3krvhmvilsxaqznzt4.png","Dining","Dining Tables"
"6","Aureo","Exquisite Chair","Minimal in form, rich in presence. The Aureo Chair embodies a perfect balance of function and sophistication. Its sculpted circular frame flows seamlessly into a handcrafted cane backrest, creating a piece that stands out through refined geometry and warm natural textures. Aureo adds an artistic statement to living spaces while offering a uniquely comfortable seating experience.","Solid Wood Frame / Handwoven Natural Cane Backrest / Matte Lacquer Finish","Warm Walnut Brown with Natural Cane","Dust wood and cane surfaces regularly with a dry cloth. Avoid direct sunlight and high humidity to preserve the cane’s natural durability. Wipe gently with a slightly damp cloth when needed. Do not use harsh chemicals.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799432/destrezza/migrated/izsjcmbdsrhs3elxpchx.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799433/destrezza/migrated/ztn8n7mlayr3wpqfnbqc.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799435/destrezza/migrated/pjdry8r0lu1c6pnesg3p.jpg","Living","Accent | Lounge Chairs"
"7","Bansih","Sofa Family","The Bansih Sofa Family blends contemporary elegance with natural textures. Featuring smooth solid wood frames with woven rattan side panels, the set comes with bright yellow cushions and patterned backrests that add vibrancy to the muted room tones. A matching coffee table with rattan accents and a sleek wooden media unit complete the setting, making it ideal for modern living rooms with a touch of earthy warmth.","Solid Wood Frame / Rattan Side Panels / High-Density Foam Cushioning / Premium Upholstered Fabric","Natural Wood with Rattan Detailing / Yellow Cushions / Blue and Beige Patterned Backrest","Vacuum cushions and upholstery regularly using a soft brush. Spot clean with a damp cloth and mild detergent. Wipe rattan and wood surfaces with a dry or slightly damp cloth. Keep away from direct sunlight and excess moisture to preserve colors and textures.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799437/destrezza/migrated/wnrwgsx6q2hsuwda3qzp.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799439/destrezza/migrated/l1a0lgnxcjadwes4vwpc.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799441/destrezza/migrated/p9zpzrbxo0uuefqnmyex.png","Living","Sofas & Sectionals"
"8","Carbon","Single Seater","The Carbon Single Seater strikes a bold balance between comfort and artistic design. Its sleek black wooden frame embraces a richly patterned upholstered seat, while the deep red rattan sides add texture and sophistication. A warm-toned cushion provides contrast, making it both inviting and visually striking. Ideal for cozy nooks, lounges, or accent seating, the Carbon transforms any corner into a refined retreat with a touch of modern eclectic charm.","Solid Wood Frame / Rattan Side Panels / High-Density Foam Cushioning / Premium Upholstered Fabric Seat","Black Wooden Frame with Red Rattan Sides / Upholstery in Muted Grey and Burgundy Patterns / Accent Cushion in Burnt Red","Vacuum upholstery regularly using a soft brush attachment. Spot clean fabric with a damp cloth and mild detergent. Keep rattan and wood dust-free with a dry cloth. Avoid direct sunlight to preserve colors and prevent fading.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799443/destrezza/migrated/vpynabuknxbag8pa5ggh.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799446/destrezza/migrated/nsgubhgaovkm0wyimx78.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799449/destrezza/migrated/trzgp6dvkrtxh2umddi3.png","Living","Accent | Lounge Chairs"
"9","Cavora","Sofa & Single Seater","The Cavora collection captures the essence of refined comfort through its smooth curves, sculpted forms, and inviting plush seating. Whether in its expansive sofa form or as an elegant single seater, Cavora redefines minimal luxury. Thoughtfully crafted to stand out while blending effortlessly into modern spaces, it offers a soft, cloud-like seating experience that feels both artistic and timeless.","Premium Upholstered Fabric / High-Density Foam Cushions / Reinforced Wooden Internal Frame / Matte Black Base Support","Soft Grey Sofa with Burnt Red Accent Cushions / Warm Terracotta Single Seater","Vacuum regularly using a soft brush attachment. Blot spills immediately with a clean, dry cloth. Use mild upholstery cleaner when required. Avoid direct sunlight to preserve fabric color and texture.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799450/destrezza/migrated/x8qskle2einpyfp9e9tu.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799452/destrezza/migrated/wzmotmw55eddpql2xqu2.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799453/destrezza/migrated/iztgpvbj4wtsvakfokwp.jpg","Living","Sofas & Sectionals"
"10","Clyra","Single Seater","The Clyra Single Seater embodies the gentle harmony of craftsmanship and comfort. Its refined frame combines solid wood with natural cane weave, creating a clean and inviting silhouette. The soft leather seat and plush fabric backrest enhance both luxury and relaxation, while the angled wooden arms provide balance and poise. Perfect for living spaces or reading corners, Clyra merges tactile warmth with timeless design.","Solid Wood Frame / Natural Rattan Cane Side Panels / Premium Leather Seat Cushion / Soft Fabric Backrest / Matte Lacquer Finish","Walnut Brown Frame with Beige Fabric Backrest and Charcoal Leather Seat","Wipe leather surfaces with a soft, damp cloth. Dust cane and wood regularly with a dry cloth. Avoid prolonged exposure to sunlight or humidity. Use mild upholstery cleaner for fabric when necessary. Tighten joints periodically every 6–8 months.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799455/destrezza/migrated/ivd0h08ssur7l0fqhsul.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799456/destrezza/migrated/ge5vgaagfbhxc0lsnm8d.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799458/destrezza/migrated/scu6higpjvevmnqrthno.jpg","Living","Accent | Lounge Chairs"
